#,Módulo (Medway),Conteúdo (Medway),Tópicos de Flashcards correspondentes (Osler)
50,Cirurgia Geral,Doenças Venosas,• Insuficiência Venosa Crônica (Cirurgia Vascular)
51,Cirurgia Geral,Estenose de Carótidas,• Estenose de Carótidas (Cirurgia Vascular)
52,Cirurgia Geral,Tumores Dermatológicos,(Mapear com os tópicos de Pele/Plástica disponíveis ou correlacionar com a base geral de Dermatologia)
53,Cirurgia Geral,Afecções Pancreáticas,"• Pâncreas (Câncer de Pâncreas Exócrino, Neoplasias Císticas)"
54,Cirurgia Geral,Doença Inflamatória Intestinal,(Abordado nos módulos de Cólon e Reto / Clínica Médica)
55,Cirurgia Geral,Hemorragia Digestiva,• Abordagem Inicial da Hemorragia Digestiva• Hemorragia Digestiva Alta• Hemorragia Digestiva Baixa
56,Cirurgia Geral,Síndrome Disfágica,• Doença do Refluxo Gastroesofágico• Esôfago de Barrett• Divertículos Esofágicos• Lesão Cáustica Esofágica
57,Cirurgia Geral,Síndrome Dispéptica,• H. Pylori• Úlcera Péptica• Hérnia de Hiato• Vôlvulo Gástrico
58,Cirurgia Geral,Polipose Intestinal,• Câncer Colorretal• Cólon e Reto
59,Cirurgia Geral,Afecções Benignas das Vias Biliares,• Câncer de Vesícula Biliar• Colangite Aguda• Colecistectomia• Colecistite• Coledocolitíase• Colelitíase• Íleo Biliar• Síndrome de Mirizzi• Vesícula em Porcelana
60,Cirurgia Geral,Oftalmologia,"• Tópicos de Oftalmologia da Osler (Catarata, Glaucoma, Trauma Ocular, Olho Vermelho, etc.)"
61,Cirurgia Geral,Fraturas Ósseas,"• Fraturas e Luxações (Ortopedia)• Úmero, Punho, Tornozelo, etc."
62,Cirurgia Geral,Luxações e Lesões Ligamentares,"• Fraturas e Luxações• Joelho (Lesões)• Cotovelo, Ombro, Mão"
63,Cirurgia Geral,Ortopedia Pediátrica,"• Ortopedia Pediátrica (Acondroplasia, Doenças da Coluna, Joelho, Pé, Quadril, Dor do Crescimento, Escoliose, Fraturas na Criança, Infecções, Pronação Dolorosa)"
64,Cirurgia Geral,"Tendinite, Tenossinovite, Fascite e Bursite",• Lesões Musculotendinosas (Ortopedia)
65,Cirurgia Geral,Tumores Ortopédicos,• Tumores Ósseos (Traumatologia / Ortopedia)
66,Cirurgia Geral,Abordagem Inicial,"• Avaliação Inicial do Trauma (Atendimento Pré-Hospitalar, Avaliação Primária e Secundária, Vias Aéreas)"
67,Cirurgia Geral,Queimaduras,• Queimaduras (Trauma)
68,Cirurgia Geral,Trauma Abdominal,"• Trauma Abdominal e Pélvico (Abordagem, Contuso, Penetrante, Diafragmático, Esplênico, Hepático, Intestinal, etc.)"
69,Cirurgia Geral,Trauma Crânio-Encefálico,• Traumatismo Cranioencefálico (Trauma)
70,Cirurgia Geral,Trauma de Face e Pescoço,• Trauma de Face• Trauma Cervical
71,Cirurgia Geral,Trauma Torácico,• Trauma Torácico
72,Cirurgia Geral,Trauma da Coluna Vertebral,• Trauma Vertebral e Raquimedular
73,Cirurgia Geral,Trauma de Membros e Extremidades,• Trauma de Extremidades• Síndrome Compartimental
74,Cirurgia Geral,Afecções Urológicas Benignas,"• Hiperplasia Prostática Benigna• Nefrolitíase• Urgências Urológicas (Orquiepididimite, Retenção Urinária, Torção de Apêndice Testicular)"
75,Cirurgia Geral,Tumores Urológicos,"• Neoplasias Urológicas (Câncer de Bexiga, de Pênis, de Próstata, de Testículo, Cistos & Neoplasias Renais)"
76,Cirurgia Geral,Abdome Agudo Inflamatório na Pediatria,• Cirurgia Pediátrica / Abdome Agudo Pediátrico
77,Cirurgia Geral,Queimaduras na Pediatria,• Queimaduras / Trauma na Criança
82,Clínica Médica,Artrites e diagnósticos diferenciais,"• Artritopatias / Artropatias (Artrite Psoriásica, Artrite Reativa, Artrite Reumatoide, Diagnóstico Diferencial das Artrites, Espondiloartrites, Gota, Osteoartrite)"
83,Clínica Médica,AVC,"• AVC (Acidente Isquêmico Transitório, Avaliação Inicial, AVC Hemorrágico, AVC Isquêmico, Hemorragia Subaracnoidea, Trombose Venosa Cerebral)"
84,Clínica Médica,Cefaleias,• Cefaleias (Neurologia)
86,Clínica Médica,Colagenoses e miopatias,"• Doença de Sjögren• Esclerose Sistêmica• Lúpus Eritematoso Sistêmico• Miopatias (Dermatomiosite e Polimiosite, Miosite por Corpúsculos de Inclusão, Miosite Viral Aguda, Síndrome Antissintetase)• Outras Colagenoses (Doença Mista do Tecido Conjuntivo, Policondrite Recidivante, Síndrome do Anticorpo Antifosfolipide)"
91,Clínica Médica,Doenças infectoparasitárias com acometimento dermatológico,"• Dermatoses Infecciosas (Bacterianas, Fúngicas, Parasitárias, Virais) / Hanseníase"
92,Clínica Médica,Doenças pulmonares intersticiais,• Doenças Pulmonares Intersticiais (Pneumologia)
93,Clínica Médica,Embolia pulmonar e hipertensão pulmonar,• Tromboembolismo Pulmonar (Pneumologia)• Hipertensão Pulmonar (Pneumologia)
94,Clínica Médica,Endocardite e infecções da corrente sanguínea,• Endocardite Infecciosa (Valvopatias / Cardiologia)• Infecções Nosocomiais (Infecção de Corrente Sanguínea Associada a Cateter)
96,Clínica Médica,Geriatria e demências,"• Geriatria (Atendimento ao Idoso Vítima de Violência, Avaliação Multidimensional, Cuidados Paliativos, Delirium, Depressão no Idoso, Fisiologia do Envelhecimento, Idoso Frágil & Polifarmácia, Prevenção de Quedas)• Síndromes Demenciais (Doença de Alzheimer, Demência Frontotemporal, Demência por Corpos de Lewy, Demência Vascular)"
110,Clínica Médica,Pneumointensivismo,• Ventilação Mecânica (Pneumologia)• Síndrome do Desconforto Respiratório Agudo (SDRA)
111,Clínica Médica,Pneumonias e síndromes gripais,"• Pneumonia (Abscesso Pulmonar, PAC, Pneumonia Associada a Cuidados de Saúde, Pneumonite Aspirativa)• Infecções Respiratórias (COVID-19, Síndrome Gripal & SRAG)"
112,Clínica Médica,"Sepse, choque séptico e outros tipos de choque",• Sepse e Choque Séptico (Infectologia)• Choque Cardiogênico / Classificação e Hemodinâmica do Choque (Cardiologia)
113,Clínica Médica,Síndrome coronariana e diagnósticos diferenciais,• Síndrome Coronariana Aguda (Cardiologia)• Síndrome Coronariana Crônica (Cardiologia)• Diagnóstico Diferencial da Dor Torácica (Cardiologia)
114,Clínica Médica,Síndrome metabólica e dislipidemia,• Dislipidemia (Cardiologia)• Obesidade e Síndrome Metabólica (Endocrinologia)
115,Clínica Médica,Síndromes febris,"• Síndromes Febris (Brucelose, Doença de Lyme, Febre Maculosa, Febre Tifoide, Leptospirose, Toxoplasmose)"
116,Clínica Médica,Síndromes neurológicas e fraqueza muscular,"• Doenças Neuromusculares (Doenças da Junção Neuromuscular, Neuropatias Periféricas, Síndrome de Guillain-Barré)• Mielopatias / Neuropatias Cranianas"
117,Clínica Médica,Tireoide,"• Tireoide (Hipertireoidismo, Hipotireoidismo, Hipotireoidismo Subclínico, Tireoidite Subaguda)"
118,Clínica Médica,Transtornos mentais,"• Psiquiatria (Esquizofrenia & Psicose, Transtorno de Estresse Pós-Traumático, Transtorno Obsessivo-Compulsivo, Transtornos do Humor [Transtorno Afetivo Bipolar, Ansiedade, Depressivos], Transtornos por Abuso de Substâncias)"
120,Clínica Médica,Tumores do sistema nervoso central,• Tumores do SNC (Neurocirurgia / Neurologia)
121,Clínica Médica,Tumores urológicos,• Neoplasias Urológicas / Cistos & Neoplasias Renais (Urologia)
122,Clínica Médica,Valvopatias e cardiomiopatias,• Cardiomiopatias (Cardiologia)• Valvopatias / Doenças Valvares (Cardiologia)
123,Clínica Médica,Vasculites,"• Vasculites (Grandes Vasos, Médios Vasos, Pequenos Vasos, Behçet e Tromboangeíte Obliterante, Vasculite Crioglobulinêmica)"
124,Clínica Médica,Vertigens,• Vertigem (Neurologia / Otorrinolaringologia)
139,Clínica Médica,Doenças sexualmente transmissíveis,"• Infecções Sexualmente Transmissíveis / Úlceras Genitais (Cancro Mole, Herpes Genital, Linfogranuloma Venéreo, Sífilis)"
141,Clínica Médica,"Infecções de pele, ossos e partes moles","• Infecções de Pele e Partes Moles (Infectologia)• Infecções Osteoarticulares (Artrite Séptica, Osteomielite - Ortopedia)"
142,Clínica Médica,Neurointensivismo e ética médica,• Coma / Hipertensão Intracraniana (Neurologia)
143,Clínica Médica,Saúde mental no Brasil,• Psiquiatria / Abordagem Geral da Dependência Química
177,Clínica Médica,Síndromes diarreicas e desabsortivas,"• Infecções Gastrintestinais• Gastroenterologia (Diarreia Aguda e Crônica, Transtornos Disabsortivos)"
85,Clínica Médica,"Cirrose, insuficiência hepática e complicações","• Cirrose (Hepatologia)• Insuficiência Hepática – Complicações (Ascite, Encefalopatia Hepática, Hidrotórax Hepático, Hipertensão Portal, Peritonite Bacteriana Espontânea/Secundária, Síndrome Hepatorrenal)"
80,Clínica Médica,Anemia e hemoglobinopatias,"• Anemias (Anemia Aplásica, Anemia da Doença Crônica, Anemia Ferropriva, Anemia Megaloblástica, Anemias Autoimunes, Deficiência de G6PD, Esferocitose Hereditária)• Hemoglobinopatias (Doença Falciforme, Talassemias)"
88,Clínica Médica,"Distúrbios da hemostasia, desordens trombóticas e transfusão de hemocomponentes","• Distúrbios da Hemostasia (Anticoagulação e Reversão, von Willebrand, Hemofilias, PTI, PTT, TVP)• Reações Transfusion Quais• Hemoterapia"
98,Clínica Médica,Hepatite e doenças do metabolismo da bilirrubina,"• Hepatites Virais (Hepatite A, B, C, D, E)• Metabolismo da Bilirrubina & Icterícias não-obstrutivas• Outras Hepatpatias (Hepatite Alcoólica, Autoimune, Medicamentosa)"
107,Clínica Médica,Intoxicações exógenas e acidentes por animais peçonhentos,(Já mapeado na parte anterior)
108,Clínica Médica,Oncohematologia,"• Oncohematologia (Amiloidose, Emergências Oncológicas, Leucemias, Linfomas, Mieloma Múltiplo, Síndromes Mielodisplásicas e Mieloproliferativas, Policitemia Vera)"
109,Clínica Médica,"Paratireoide, suprarrenal e outras síndromes endócrinas","• Adrenal (Distúrbios da Aldosterona e do Cortisol, Tumores Adrenais)• Paratireoide e Metabolismo Ósseo (Distúrbios do Cálcio e da Vitamina D, Hiperparatireoidismo, Osteoporose)"
89,Clínica Médica,Distúrbios hidroeletrolíticos e ácidos básicos,"• Distúrbios do Equilíbrio Ácido-Básico (Acidose/Alcalose Metabólica e Respiratória, Distúrbios Mistos)• Distúrbios Hidroeletrolíticos (Distúrbios do Potássio, do Sódio - Hipernatremia e Hiponatremia)"
97,Clínica Médica,Glomerulopatias e tubulopatias,"• Doenças Túbulo-Intersticiais (Tubulopatias)• Glomerulopatias (Biopsia, Doença de Alport, Doença de Lesões Mínimas, GESF, GNMP, GNPE, GNRP, Nefrite Lúpica, Nefropatia Membranosa, Nefropatia por IgA, Síndrome Nefrítica, Síndrome Nefrótica)"
100,Clínica Médica,HIV e AIDS no adulto não gestante,"• HIV e Aids (AIDS e Profilaxia de Oportunistas, Epidemiologia, Clínica & Diagnóstico, Manejo, PEP e PrEP)"
101,Clínica Médica,Infecção do trato urinário,• Infecção do Trato Urinário
102,Clínica Médica,Infecções do sistema nervoso central,"• Infecções do Sistema Nervoso Central (Abscesso Cerebral, Encefalite Herpética e Viral, Meningite Tuberculosa, Meningites em Adultos, Neurossífilis, Raiva Humana)"
103,Clínica Médica,Infecções fúngicas,"• Infecções Fúngicas (Aspergilose, Candidíase, Criptococose, Esporotricose, Histoplasmose, Mucormicose, Paracoccidioidomicose, Pneumocistose)"
105,Clínica Médica,Insuficiência renal,"• Insuficiência Renal (Diálise, Doença Renal Crônica, Injúria Renal Aguda)"
119,Clínica Médica,Tuberculose,"• Tuberculose (Ações de Controle, Diagnóstico, Infecção Latente/ILTB, Micobactérias Atípicas, Tratamento, Tuberculose Miliar e Extrapulmonar)"
140,Preventiva,Como cai na preventiva: HIV e AIDS no adulto não gestante,• HIV e Aids (Infectologia / Clínica Médica)
178,Preventiva,Como cai na preventiva: imunizações,• Vacinas (Medicina Legal / Epidemiologia)
216,Medicina Preventiva e Social,"Ética médica, Bioética e Documentação",• Atestados Médicos• Bioética• Código de Ética Médica• Declaração de Nascido Vivo• Declaração de Óbito
217,Medicina Preventiva e Social,Estudos Epidemiológicos (Análise Estatística e Aplicação),• Bioestatística• Estudos Epidemiológicos
218,Medicina Preventiva e Social,Estudos Epidemiológicos (Classificação),• Estudos Epidemiológicos (Epidemiologia)
219,Medicina Preventiva e Social,Perfis e Indicadores Demográficos,• Transição Demográfica• Indicadores de Saúde
220,Medicina Preventiva e Social,Indicadores de Morbimortalidade,• Indicadores de Saúde• Medidas de Frequência
221,Medicina Preventiva e Social,Níveis de Prevenção,• História Natural da Doença e Níveis de Prevenção
222,Medicina Preventiva e Social,Aspectos Históricos do SUS,• Marcos Históricos do SUS (SUS)
223,Medicina Preventiva e Social,A Evolução do SUS,• Organização Financeira do SUS• Organização Jurídica do SUS• Princípios do SUS
224,Medicina Preventiva e Social,Atenção Primária à Saúde,"• Atenção Primária (Abordagem Familiar e Comunitária, Atributos da APS, Política Nacional de Atenção Básica, Territorialização e Diagnóstico Local)"
225,Medicina Preventiva e Social,Estatística de Testes Diagnósticos,• Testes Diagnósticos (Epidemiologia)• Medidas de Associação
226,Medicina Preventiva e Social,Notificação,• Vigilância Epidemiológica• Notificação Compulsória
227,Medicina Preventiva e Social,Vigilância em Saúde do Trabalhador,• Saúde do Trabalhador (Medicina Legal)
228,Medicina Preventiva e Social,"Epidemias, Endemias e Pandemias",• Endemia & Epidemia & Pandemia• Vigilância Epidemiológica
126,Pediatria,Como cai na pediatria: Anemias e hemoglobinopatias,"• Anemias (Anemia Ferropriva na Criança, Anemia Fisiológica da Infância) / Hemoglobinopatias"
127,Pediatria,Como cai na pediatria: Glomerulopatias e tubulopatias,• Nefrologia Pediátrica / Glomerulopatias
128,Pediatria,Como cai na pediatria: Diabetes,• Diabetes Mellitus / DM1 na Infância
129,Pediatria,Como cai na pediatria: Distúrbios da hemostasia e desordens trombóticas,• Distúrbios Hematológicos Neonatais / Hematologia
130,Pediatria,Como cai na pediatria: Hipertensão,• Hipertensão Arterial Sistêmica na Criança (Cardiologia Pediátrica)
131,Pediatria,Como cai na pediatria: Infecções do sistema nervoso central,• Meningite Bacteriana em Crianças
132,Pediatria,Como cai na pediatria: Intoxicações exógenas e acidentes por animais peçonhentos,• Intoxicações e Acidentes (Módulo de Clínica Médica / Urgências)
133,Pediatria,Como cai na pediatria: Onco-hematologia,• Neoplasias Pediátricas (Oncologia)
134,Pediatria,Como cai na pediatria: Pneumonias e síndromes gripais,• Pneumonia na Pediatria / Infecções Respiratórias
135,Pediatria,Como cai na pediatria: Síndrome metabólica e dislipidemia,• Obesidade Infantil / Hebiatria
136,Pediatria,Como cai na pediatria: Síndromes febris,• Febre Sem Sinais Localizatórios & de Origem Indeterminada
137,Pediatria,Como cai na pediatria: Tuberculose,• Tuberculose na Pediatria (Infectologia Pediátrica)
144,Pediatria,Desordens do sistema imune,"• Alergia e Imunologia (Alergia Alimentar, Anafilaxia, Imunodeficiências Primárias)"
145,Pediatria,"Arritmias, síncope e PCR",• Pediatric Advanced Life Support (PALS) / Cardiologia
146,Pediatria,Cardiopatias congênitas,• Cardiopatias Congênitas (Cardiologia Pediátrica)
147,Pediatria,Diabetes,• Diabetes Mellitus / DM1
148,Pediatria,Constipação intestinal,• Constipação (Gastroenterologia Pediátrica)
149,Pediatria,Parasitoses,• Parasitoses / Doenças Infecciosas
150,Pediatria,Síndromes diarreicas e absortivas,• Diarreia Aguda e Crônica na Criança• Doença Celíaca
151,Pediatria,Desordens genéticas e erros inatos do metabolismo,"• Erros Inatos do Metabolismo• Síndromes Genéticas (Down, Turner, Noonan, etc.)"
152,Pediatria,Doenças exantemáticas,"• Doenças Exantemáticas (Escarlatina, Exantema Súbito, Mão-Pé-Boca, Parvovírus B19, Rubéola, Sarampo, Varicela)"
153,Pediatria,Imunizações,"• Vacinação (Calendário Vacinal, BCG, Tríplice Viral, Meningocócica, Poliomielite, Rotavírus, etc.)"
154,Pediatria,Infecção do trato urinário,• Infecção do Trato Urinário (Nefrologia Pediátrica)
155,Pediatria,Pneumonias e síndromes gripais,• Pneumonia na Pediatria• Bronquiolite• Coqueluche
156,Pediatria,Síndromes febris,• Febre Sem Sinais Localizatórios• Doença de Kawasaki
157,Pediatria,Glomerulopatias e tubulopatias,• Síndrome Nefrótica na Criança• Infecção do Trato Urinário• Hematúria na Infância
158,Pediatria,Alojamento conjunto e teste de triagem neonatal,• Sala de Parto & Alojamento Conjunto• Testes de Triagem Neonatal
159,Pediatria,Período neonatal: doenças do metabolismo,"• Distúrbios Metabólicos (Filho de Mãe Diabética, Hipoglicemia Neonatal, Hipotireoidismo Congênito, Hiperplasia Adrenal Congênita)"
160,Pediatria,Período neonatal: doenças hematológicas,• Doença Hemorrágica do Recém-Nascido• Icterícia Neonatal
161,Pediatria,Período neonatal: doenças infecciosas,"• Infecções Congênitas (Citomegalovírus, Sífilis Congênita, Toxoplasmose, Zika, HIV)• Sepse Neonatal"
162,Pediatria,Período neonatal: doenças respiratórias,"• Desconforto Respiratório do RN (Taquipneia Transitória, SDR/Doença da Membrana Hialina, Síndrome de Aspiração de Mecônio, Asfixia Perinatal)"
163,Pediatria,Doenças neurológicas e sensoriais,"• Neurologia (Convulsão Febril, BRUE, Cefaleia, Epilepsia, Triagem Visual na Infância)"
164,Pediatria,Sala de parto,• Reanimação Neonatal• Escore de Apgar
165,Pediatria,Epilepsia e síndromes convulsivas,• Crises Epilépticas na Criança• Síndromes Epilépticas
166,Pediatria,Distúrbios carenciais,"• Deficiência e Reposição de Vitaminas (Ferro, Vitamina A, D)• Desnutrição Infantil"
167,Pediatria,Nutrição na pediatria,• Aleitamento Materno• Alimentação Complementar• Fórmulas Infantis
168,Pediatria,"Nariz, ouvido e laringe","• Infecções de Vias Aéreas Superiores (Faringite, Laringite, Otite, Rinossinusite, Traqueíte)"
169,Pediatria,Distúrbios obstrutivos,"• Pneumologia (Aspiração de Corpo Estranho, Asma, Bronquiolite, Fibrose Cística)"
170,Pediatria,Avaliação dos transtornos do comportamento na infância e adolescência,"• Transtornos da Infância (TDAH, TEA, Transtorno Opositivo-Desafiante)"
171,Pediatria,Crescimento e desenvolvimento na infância e adolescência,"• Puericultura (Avaliação do DNPM, Avaliação Pôndero-Estatural)"
172,Pediatria,Vasculites,"• Reumatologia Pediátrica (Doença de Kawasaki, Vasculite por IgA/Henoch-Schönlein, Febre Reumática, Artrite Idiopática Juvenil)"
173,Pediatria,Distúrbios estaturais e puberais,"• Hebiatria (Alterações da Puberdade, Puberdade Fisiológica)"
174,Pediatria,Segurança e violência na infância,• Abuso Infantil (Puericultura / Segurança da Criança)
175,Pediatria,"Sepse, choque séptico e outros tipos de choque",• Sepse Pediátrica• Choque (Cardiologia / Terapia Intensiva Pediátrica)
79,Clínica Médica,Afecções benignas das vias biliares,• Doenças das Vias Biliares / Aparelho Digestivo
81,Clínica Médica,"Arritmias, síncope e PCR","• Distúrbios do Ritmo (Abordagem da Síncope, ACLS, Bradiarritmias, Fibrilação Atrial, Flutter Atrial, Taquiarritmias)"
87,Clínica Médica,Diabetes,"• Diabetes Mellitus (Cetoacidose Diabética, Complicações Crônicas, Diabetes Monogênico, DM1, DM2 - Clínica, Insulina e Tratamento, Doença Renal, Hipoglicemia, Pé Diabético, Pré-Diabetes)"
90,Clínica Médica,Distúrbios obstrutivos,(Pneumologia / Cardiologia)
95,Clínica Médica,Farmacodermias e dermatoses,"• Dermatologia (Farmacodermias, Dermatites Eczematosas, Dermatoses Infecciosas, Papuloescamosas, Vesicobolhosas)"
99,Clínica Médica,Hipertensão arterial sistêmica,"• Hipertensão Arterial Sistêmica (Feocromocitoma & Paraganglioma, Urgências e Emergências, HAS Secundária, HAS no Adulto, HAS Resistente e Refratária, Tratamento)"
104,Clínica Médica,Insuficiência cardíaca,"• Insuficiência Cardíaca (IC Ambulatorial, IC Descompensada, Síndrome Cardiorrenal, Transplante Cardíaco)"
106,Clínica Médica,Intoxicações exógenas e acidentes por animais peçonhentos,"• Exposições Ambientais (Acidentes com Animais Peçonhentos: Escorpiônico, Artrópodes, Ofídicos, etc.)• Intoxicações Exógenas (Manejo, Digitólica, Antidepressivos, Benzodiazepínicos, Lítio, Metanol, Opioides, Paracetamol, Metais Pesados, Metahemoglobinemia, Síndromes Toxicológicas)"
179,Ginecologia e Obstetrícia,Rastreamento do Câncer de Colo Uterino,• Citologia Cervicovaginal• HPV & Rastreio do Câncer de Colo
180,Ginecologia e Obstetrícia,Pré-Natal,• Assistência Pré-Natal• Diagnóstico & Datação da Gestação• Vacinas da Gestante
181,Ginecologia e Obstetrícia,Tumores do colo uterino,• Câncer de Colo Uterino• Câncer de Colo de Útero — Tratamento
182,Ginecologia e Obstetrícia,Doenças do Corpo Uterino e Endométrio,• Hiperplasia & Câncer de Endométrio• Pólipo Endometrial
183,Ginecologia e Obstetrícia,Diabetes mellitus na Gravidez,• Diabetes Mellitus Gestacional
184,Ginecologia e Obstetrícia,Síndromes Hipertensivas da Gestação,• Pré-Eclâmpsia• Eclâmpsia• Hipertensão Gestacional• Síndrome HELLP
185,Ginecologia e Obstetrícia,"Hepatites virais, HIV/AIDS e outras infecções na gestação","• Infecções na Gestação (HIV na Gestação, Hepatite, Sífilis na Gestação, Toxoplasmose na Gestação, Citomegalovírus)"
186,Ginecologia e Obstetrícia,Outras doenças na gestação,"• Doenças Intercorrentes na Gestação (Anemias, Cardiopatias, Tireoidopatias, Trombofilias, Lúpus)"
187,Ginecologia e Obstetrícia,Amenorreias e Síndrome dos Ovários Policísticos,• Amenorreia Primária• Amenorreia Secundária• Síndrome dos Ovários Policísticos (SOP)
188,Ginecologia e Obstetrícia,Ciclo Menstrual,• Fisiologia Menstrual
189,Ginecologia e Obstetrícia,Climatério,• Climatério e Menopausa
190,Ginecologia e Obstetrícia,Contracepção,• Contracepção
191,Ginecologia e Obstetrícia,Anatomia Pélvica,• Anatomia do Trato Genital Feminino
192,Ginecologia e Obstetrícia,Dor pélvica crônica,• Dor Pélvica
193,Ginecologia e Obstetrícia,Doença Inflamatória Pélvica e Violência Sexual,• Doença Inflamatória Pélvica (DIP)• Violência Sexual
194,Ginecologia e Obstetrícia,Vulvovaginites,"• Vulvovaginites (Candidíase Vulvovaginal, Tricomoníase, Vaginose Bacteriana)• Abordagem do Corrimento Vaginal"
195,Ginecologia e Obstetrícia,Infertividade Conjugal,• Infertividade
196,Ginecologia e Obstetrícia,Doenças Benignas da Mama,• Lesões Benignas da Mama• Mastalgia
197,Ginecologia e Obstetrícia,Tumores Malignos da Mama,• Câncer de Mama• Rastreio do Câncer de Mama
198,Ginecologia e Obstetrícia,Medicina Fetal,• Medicina Fetal / Malformações Fetais / Rastreamento de Cromossomopatias
199,Ginecologia e Obstetrícia,Tumores dos Ovários,• Tumores de Ovário
200,Ginecologia e Obstetrícia,Assistência ao Parto,• Assistência ao Trabalho de Parto• Fases do Trabalho de Parto
201,Ginecologia e Obstetrícia,"Estática fetal, pelve e mecanismo de parto",• Estática Fetal
202,Ginecologia e Obstetrícia,Rotura Prematura de Membros Ovulares e Infecção Ovular,• Rotura Prematura de Membras Ovulares (RPMO)• Corioamnionite
203,Ginecologia e Obstetrícia,Trabalho de parto prematuro,• Trabalho de Parto Prematuro
204,Ginecologia e Obstetrícia,Puerpério,"• Puerpério (Hemorragia Pós-Parto, Infecções Puerperais, Amamentação e Complicadas)"
205,Ginecologia e Obstetrícia,Sangramento da Primeira Metade da Gestação,"• Sangramentos da 1ª Metade (Abortamento, Gestação Ectópica, Doença & Neoplasia Trofoblástica Gestacional)"
206,Ginecologia e Obstetrícia,Sangramento da Segunda Metade da Gestação,"• Sangramentos da 2ª Metade (Descolamento Prematuto de Placenta - DPP, Placenta Prévia e Acretismo, Rotura Uterina, Vasa Prévia)"
207,Ginecologia e Obstetrícia,PALM-COEIN,"• Sangramento Uterino Anormal (Adenomiose, Leiomiomas, Pólipos)"
